toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate,cdpp,pl_perturbed
5423.02,47319867,PC,07h12m18.26s,108.076091,+20d45m06.96s,20.751933,-5.745,0.048,-0.048,0.0,-17.711,0.038,-0.038,0.0,2460235.223316,0.004749,-0.004749,0,3.3928027,0.0005515,-0.0005515,0,2.2095141,0.6637913,-0.6637913,0,2201.6366114,251.15834,-251.15834,0,3.7170935,2.0813854,-2.0813854,0,183.9229574,,,,939.2446608,,,,12.6165,0.007,-0.007,0,261.785,1.95,-1.95,0,4964.8,105.8,-105.8,0,4.59,0.08,-0.08,0,0.76036,0.042299,-0.042299,0,2025-01-09 23:36:25,2025-01-10 12:03:06,1355.3255383368114 ppm,3.0756115955071435
7177.01,51768374,PC,22h30m39.23s,337.663459,+12d33m22.84s,12.556345,42.758,0.072,-0.072,0.0,7.095,0.069,-0.069,0.0,2460584.132916,0.003279,-0.003279,0,6.8434236,5.2e-05,-5.2e-05,0,3.179,0.898,-0.898,0,767.0,46.756,-46.756,0,2.93142,0.183364,-0.183364,0,325.891,,,,1183.0,,,,9.94212,0.006,-0.006,0,165.19,1.281,-1.281,0,6060.0,136.9,-136.9,0,4.38,0.08,-0.08,0,1.14,0.05,-0.05,0,2025-01-09 23:37:41,2025-01-10 12:03:06,191.17627798310897 ppm,2.799407135464716
7178.01,419877797,PC,22h30m36.81s,337.653386,+11d53m33.58s,11.892662,56.808,0.082,-0.082,0.0,-12.288,0.08,-0.08,0.0,2460581.426091,0.003411,-0.003411,0,5.2169076,3.84e-05,-3.84e-05,0,2.299,0.395,-0.395,0,334.0,23.4957,-23.4957,0,2.0097,0.129609,-0.129609,0,192.44,,,,1037.0,,,,8.3898,0.006,-0.006,0,78.2804,0.38445,-0.38445,0,5966.0,124.1,-124.1,0,4.39,0.08,-0.08,0,1.1,0.05,-0.05,0,2025-01-09 23:37:41,2025-01-10 12:03:06,100.45398692213209 ppm,1.8809511411219568
7180.01,314992600,PC,22h26m36.59s,336.652468,+21d27m38.83s,21.460785,-3.304,0.067,-0.067,0.0,-4.107,0.064,-0.064,0.0,2460582.91736,0.004245,-0.004245,0,3.2607791,3.14e-05,-3.14e-05,0,3.152,0.624,-0.624,0,574.0,43.9235,-43.9235,0,3.18123,0.222243,-0.222243,0,973.545,,,,1556.0,,,,10.3767,0.006,-0.006,0,244.502,2.5255,-2.5255,0,5975.0,129.3,-129.3,0,4.19,0.08,-0.08,0,1.39,0.07,-0.07,0,2025-01-09 23:37:42,2025-01-10 12:03:06,245.96564037440385 ppm,3.062282337896589
7182.01,408469564,PC,23h57m02.91s,359.262122,+09d47m04.77s,9.784659,-5.054,0.081,-0.081,0.0,-51.133,0.038,-0.038,0.0,2460563.963848,0.006711,-0.006711,0,14.7126653,0.0001729,-0.0001729,0,3.56,0.92,-0.92,0,305.0,23.6794,-23.6794,0,2.08605,0.153422,-0.153422,0,74.4061,,,,818.0,,,,8.1891,0.006,-0.006,0,91.8327,0.3479,-0.3479,0,6156.0,120.2,-120.2,0,4.25,0.08,-0.08,0,1.34,0.06,-0.06,0,2025-01-09 23:37:42,2025-01-10 12:03:06,96.93644966681823 ppm,2.077089342114055
7184.01,426956677,PC,00h09m58.7s,2.494564,+18d46m25.79s,18.77383,13.007,0.093,-0.093,0.0,-60.288,0.073,-0.073,0.0,2460608.104995,0.00403,-0.00403,0,1.1976555,7.8e-06,-7.8e-06,0,1.257,0.347,-0.347,0,303.0,37.1081,-37.1081,0,1.53572,0.140243,-0.140243,0,922.814,,,,1535.0,,,,9.70916,0.006,-0.006,0,105.18,0.5885,-0.5885,0,5598.9,107.1,-107.1,0,4.52,0.07,-0.07,0,0.91,0.04,-0.04,0,2025-01-09 23:38:24,2025-01-10 12:03:06,199.9172924439803 ppm,1.6118105652864279
7185.01,77490011,PC,02h51m17.71s,42.823804,+30d16m52.69s,30.281303,-73.474,0.131,-0.131,0.0,-107.979,0.109,-0.109,0.0,2460611.292588,0.001256,-0.001256,0,2.6881318,0.000215,-0.000215,0,0.9223764,0.0910305,-0.0910305,0,22717.9494983,1646.6449,-1646.6449,0,3.537073,0.3074696,-0.3074696,0,10.8896046,,,,463.3111771,,,,14.1398,0.007,-0.007,0,59.6029,0.24475,-0.24475,0,3244.0,157.0,-157.0,0,5.01029,0.017108,-0.017108,0,0.232947,0.0070022,-0.0070022,0,2025-01-09 23:41:06,2025-01-10 12:03:06,8959.059854139408 ppm,3.5779455597709937
5967.01,369532319,PC,22h34m17.84s,338.574347,+33d49m24.48s,33.823466,-1.237,0.075,-0.075,0.0,-29.635,0.076,-0.076,0.0,2460563.656882,0.003874,-0.003874,0,15.343585,6.7e-05,-6.7e-05,0,3.901,0.369,-0.369,0,1344.0,67.8128,-67.8128,0,3.32532,0.202791,-0.202791,0,50.6698,,,,743.0,,,,10.1233,0.006,-0.006,0,145.066,1.1995,-1.1995,0,5758.0,128.163,-128.163,0,4.45663,0.0775638,-0.0775638,0,0.99,0.05,-0.05,0,2022-11-16 01:06:42,2025-01-09 16:02:01,360.50340727374925 ppm,3.523270189517229
5968.01,431810418,PC,23h17m04.2s,349.267516,+31d21m14.36s,31.353989,-7.222,0.056,-0.056,0.0,17.6,0.044,-0.044,0.0,2460583.854715,0.013659,-0.013659,0,753.822332,0.0002155,-0.0002155,0,4.495,1.436,-1.436,0,520.0,45.6643,-45.6643,0,1.90769,0.184916,-0.184916,0,322.574,,,,1180.0,,,,9.50492,0.006,-0.006,0,122.831,0.538,-0.538,0,5940.0,128.564,-128.564,0,4.42516,0.0772178,-0.0772178,0,1.06,0.05,-0.05,0,2022-11-16 01:06:43,2025-01-09 16:02:01,179.2189523580605 ppm,1.8406998479114867
5968.02,431810418,PC,23h17m04.2s,349.267516,+31d21m14.36s,31.353989,-7.222,0.056,-0.056,0.0,17.6,0.044,-0.044,0.0,2460570.60536,0.004115,-0.004115,0,9.2152386,7.42e-05,-7.42e-05,0,3.487,0.537,-0.537,0,695.0,46.2636,-46.2636,0,2.47478,0.171555,-0.171555,0,138.746,,,,956.0,,,,9.50492,0.006,-0.006,0,122.831,0.538,-0.538,0,5940.0,128.564,-128.564,0,4.42516,0.0772178,-0.0772178,0,1.06,0.05,-0.05,0,2022-12-01 23:10:01,2025-01-09 16:02:01,179.2189523580605 ppm,2.496395901070193
